id,title,stage,stage_name,goals,formats,psychology,sources,principle,actions,metrics,keywords,related_strategies,path,relationship_focus,safety_boundary
IGS-S1-01,用“小众共同兴趣人群”定义账号边界,S1,陌生人画像与边界策略,降低陌生防备；形成可信专业感；建立长期朋友关系,Bio 策略；社群/圈层策略,提升被理解感；降低陌生感；提升持续关注理由,THIS_IS_MARKETING；GOOGLE_SKILLSHOP_DIGITAL_MARKETING；HOOTSUITE_INSTAGRAM_RESOURCES,这条策略先帮你判断哪些陌生人值得认识、从什么共同语境开始互动。账号越早说清楚“我想认识谁、能帮谁、能给他们什么具体帮助、用什么方式解决”，越容易让合适的人愿意继续互动。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,写出一个不超过 18 个字的核心人群，例如“想用英语表达育儿理念的妈妈”。；列出这个人群最常出现的 5 个场景、5 个焦虑、5 个期待结果。；把主页 Bio、置顶内容、小资源和评论互动都围绕这个人群重写。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,主页访问到关注率；非目标进一步交流占比；新认识的人留言中是否复述你的定位；对方主动回应率；重复互动率,对方定位；小众人群；niche；想认识的人；账号定位；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S2-01；IGS-S1-G16,cards/IGS-S1-01.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S1-02,建立对方需求四层卡,S1,陌生人画像与边界策略,提升主页可信感；开启自然互动；开启私信对话,Carousel 策略；Story 策略；私信策略,提升被理解感；提升安全感；降低怀疑感,GOOGLE_SKILLSHOP_DIGITAL_MARKETING；CXL_INSTITUTE；NONVIOLENT_COMMUNICATION,这条策略先帮你判断哪些陌生人值得认识、从什么共同语境开始互动。对方不是只为内容形式停留，而是为“被准确理解”停留；需求要拆到事实、感受、需要和顾虑。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,每个目标想认识的人画像写 4 层：正在经历什么、心里怎么想、真正想要什么、为什么还没行动。；把四层分别转成选题：事实型 Reels、感受型 Story、需要型 Carousel、顾虑型 DM。；每周从评论和私信里补充原话，替换掉团队自己想象的描述。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,评论中“这就是我”的比例；Story 投票参与率；私信开启率；对方主动回应率；重复互动率,需求洞察；对方心理；痛点；NVC；受众研究；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S2-09；IGS-S1-G17；IGS-S5-05,cards/IGS-S1-02.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S1-03,做目标受众内容雷达,S1,陌生人画像与边界策略,发现合适陌生人；形成可信专业感；建立长期朋友关系,Reels 策略；Carousel 策略；Story 策略,提升专业感；提升持续关注理由；提升参与感,SPROUT_INSTAGRAM_STRATEGY；HOOTSUITE_INSTAGRAM_RESOURCES；BUFFER_INSTAGRAM,这条策略先帮你判断哪些陌生人值得认识、从什么共同语境开始互动。内容计划不要只按灵感排，而要覆盖对方会反复搜索、收藏、分享和追问的问题。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,把内容雷达分成 6 格：误区、教程、案例、工具、观点、幕后。；每格至少准备 10 个问题句标题，优先选对方会主动搜索的词。；每周发布时确保至少覆盖 4 格，避免账号只剩一种表达。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,覆盖的内容支柱数量；收藏率；分享率；搜索关键词命中；对方主动回应率,内容支柱；内容雷达；选题库；内容规划；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S2-05；IGS-S1-07；IGS-S7-01,cards/IGS-S1-03.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S1-04,画出竞品与相邻账号互动地图,S1,陌生人画像与边界策略,发现合适陌生人；开启自然互动；形成可信专业感,评论策略；社群/圈层策略,降低陌生感；提升参与感；提升专业感,HOOTSUITE_INSTAGRAM_RESOURCES；BUFFER_INSTAGRAM；CARNEGIE,这条策略先帮你判断哪些陌生人值得认识、从什么共同语境开始互动。Instagram 会参考相关账号互动来理解你是谁；真正的关系也来自高质量参与，而不是孤立发布。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,列出 30 个同领域、相邻领域和潜在合作账号，按受众重合度分层。；每天选择 5 个账号留下有信息量的评论，避免只写表情或泛泛夸奖。；记录哪些评论带来主页访问、回复或互关，保留高质量互动入口。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,评论回复率；由评论带来的主页访问；相关账号互动力；对方主动回应率；重复互动率,竞品分析；相邻账号；主动互动；评论增长；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S2-02；IGS-S1-03；IGS-S4-01,cards/IGS-S1-04.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S1-05,搭建想认识的人语言库,S1,陌生人画像与边界策略,增加 Story 回复；开启私信对话；降低陌生防备,Story 策略；私信策略；Bio 策略,提升被理解感；降低陌生感；提升真实感,EVERYBODY_WRITES；CXL_INSTITUTE；NONVIOLENT_COMMUNICATION,这条策略先帮你判断哪些陌生人值得认识、从什么共同语境开始互动。对方会回应“像自己说出来”的内容；语言库能让文案从自我表达变成对方表达。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,收集评论、私信、对方反馈、竞品评论区中的原话，按痛点、欲望、反对意见分类。；每条文案至少嵌入 1 句对方原话，不把它改成过度营销腔。；每月清理过时表达，保留高回复、高收藏、高私信触发的说法。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,Story 回复率；私信开场质量；文案保存率；对方主动回应率；重复互动率,语言库；对方原话；文案；Story 回复；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S2-09；IGS-S1-09；IGS-S5-06,cards/IGS-S1-05.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S1-06,建立继续互动阻力清单,S1,陌生人画像与边界策略,开启私信对话；提高后续对话率；提供小帮助,私信策略；资源互助策略；Story 策略,提升安全感；降低怀疑感；提升被理解感,NEVER_SPLIT_DIFFERENCE；NONVIOLENT_COMMUNICATION；CXL_INSTITUTE,这条策略先帮你判断哪些陌生人值得认识、从什么共同语境开始互动。阻力不是对方不懂，而是对方还没有被允许说出真实顾虑；策略要先承认顾虑。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,把阻力分成投入边界、时间、信任、能力、隐私、结果不确定 6 类。；为每类准备一个共情句、一个澄清问题、一个低风险下一步。；在小资源页、Story 和私信里主动回答最常见的 3 个阻力。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,小资源领取后回复率；异议被提出后的继续对话率；跳出率；对方主动回应率；重复互动率,异议处理；对方阻力；私信关系推进；信任；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S2-07；IGS-S1-02；IGS-S8-06,cards/IGS-S1-06.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S1-07,固定 3 个核心内容支柱,S1,陌生人画像与边界策略,形成可信专业感；发现合适陌生人；提升主页可信感,Reels 策略；Carousel 策略；Story 策略,提升专业感；提升持续关注理由；提升真实感,BUFFER_INSTAGRAM；SPROUT_INSTAGRAM_STRATEGY；MADE_TO_STICK,这条策略先帮你判断哪些陌生人值得认识、从什么共同语境开始互动。内容支柱让对方知道为什么持续关注你，也让算法和新访客更快理解账号主题。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,选择 3 个支柱：一个解决即时问题，一个展示专业判断，一个展示真实过程。；每个支柱绑定 2 种格式，例如教程用 Carousel，过程用 Story，观点用 Reels。；连续 30 天保持支柱不变，只测试标题、开头和 CTA。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,各支柱平均互动率；新认识的人来源内容分布；连续关注后的回访率；对方主动回应率；重复互动率,内容支柱；账号主题；专家感；内容一致性；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S2-05；IGS-S1-03；IGS-S9-08,cards/IGS-S1-07.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S1-08,画关系旅程触点图,S1,陌生人画像与边界策略,降低陌生防备；提高后续对话率；建立长期朋友关系,Bio 策略；Highlights 策略；私信策略,提升安全感；降低怀疑感；提升持续关注理由,GOOGLE_SKILLSHOP_DIGITAL_MARKETING；STORYBRAND；SPROUT_SOCIAL_GUIDES,这条策略先帮你判断哪些陌生人值得认识、从什么共同语境开始互动。对方从看见你到信任你，中间需要多个低压力触点，而不是一次性被要求继续互动或进一步交流。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,把旅程拆成看见、理解、相信、互动、领取、对话、复访 7 步。；每一步指定一个内容入口：Reel、置顶帖、Highlight、Story、小资源、私信、社群。；检查每一步是否有明确下一步，避免对方看完不知道做什么。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,主页访问后下一步点击率；Highlight 完播率；私信后续回复率；对方主动回应率；重复互动率,关系旅程；触点设计；关系推进路径；长期关系；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S2-09；IGS-S1-01；IGS-S7-03,cards/IGS-S1-08.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S1-09,设置新认识的人第一问机制,S1,陌生人画像与边界策略,开启自然互动；增加 Story 回复；开启私信对话,Story 策略；评论策略；私信策略,提升参与感；提升被理解感；降低陌生感,CARNEGIE；NONVIOLENT_COMMUNICATION；LATER_INSTAGRAM_GUIDES,这条策略先帮你判断哪些陌生人值得认识、从什么共同语境开始互动。关系建立的第一步不是介绍自己，而是给新认识的人一个轻松说出自己的入口。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,置顶帖和欢迎 Story 都放一个低门槛问题，例如“你现在卡在哪一步？”；用投票、滑杆、问答框降低表达成本，再把高意向回复延伸到私信。；回复时先复述对方处境，再给一个小建议，最后再邀请下一步。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,新认识的人 7 日内互动率；Story 问答提交数；第一轮私信回复率；对方主动回应率；重复互动率,新认识的人互动；第一问；Story 问答；评论引导；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S2-07；IGS-S1-05；IGS-S3-07,cards/IGS-S1-09.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
IGS-S2-01,把 Bio 写成一句价值承诺,S2,主页可信与安全感策略,提升主页可信感；降低陌生防备；形成可信专业感,Bio 策略,降低陌生感；提升专业感；提升被理解感,STORYBRAND；HOOTSUITE_INSTAGRAM_RESOURCES；HUBSPOT_INSTAGRAM,陌生人点进主页时，会先判断你是否真实、安全、值得回应。Bio 是主页的第一判断点，要让对方 3 秒内知道你能帮他获得什么改变。执行时只把它当作建立熟悉感和互相信任的入口，不把对方当作被推进的对象。,第一行写想认识和能帮助的人，第二行写结果，第三行写证明或方法，最后放行动入口。；删除抽象形容词，把“高质量、专业、成长”改成可感知结果。；每月用主页访问到关注率检验 Bio 是否足够清楚。；边界要求：必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。,主页访问到关注率；Bio 链接点击率；新认识的人私信中提到的关键词；对方主动回应率；重复互动率,Bio；主页优化；价值主张；关注关系推进；认识陌生人；成为朋友；建立信任；真诚互动,IGS-S1-01；IGS-S3-09；IGS-S2-05,cards/IGS-S2-01.md,用于在社交平台上认识合适的陌生人，通过公开互动、真诚倾听和小范围互助，逐步成为朋友并赢得长期信任。,必须真实透明、尊重对方选择；不伪装身份、不套取隐私、不制造虚假亲密或焦虑，对方冷淡、拒绝或沉默时停止推进。
