source,target,relation,reason
strategy:IGS-S1-01,strategy:IGS-S2-01,continues_to,可继续推进到下一阶段 S2
strategy:IGS-S1-01,strategy:IGS-S1-G16,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S1-02,strategy:IGS-S2-09,continues_to,可继续推进到下一阶段 S2
strategy:IGS-S1-02,strategy:IGS-S1-G17,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S1-02,strategy:IGS-S5-05,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S1-03,strategy:IGS-S2-05,continues_to,可继续推进到下一阶段 S2
strategy:IGS-S1-03,strategy:IGS-S1-07,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S1-03,strategy:IGS-S7-01,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S1-04,strategy:IGS-S2-02,continues_to,可继续推进到下一阶段 S2
strategy:IGS-S1-04,strategy:IGS-S1-03,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S1-04,strategy:IGS-S4-01,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S1-05,strategy:IGS-S2-09,continues_to,可继续推进到下一阶段 S2
strategy:IGS-S1-05,strategy:IGS-S1-09,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S1-05,strategy:IGS-S5-06,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S1-06,strategy:IGS-S2-07,continues_to,可继续推进到下一阶段 S2
strategy:IGS-S1-06,strategy:IGS-S1-02,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S1-06,strategy:IGS-S8-06,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S1-07,strategy:IGS-S2-05,continues_to,可继续推进到下一阶段 S2
strategy:IGS-S1-07,strategy:IGS-S1-03,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S1-07,strategy:IGS-S9-08,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S1-08,strategy:IGS-S2-09,continues_to,可继续推进到下一阶段 S2
strategy:IGS-S1-08,strategy:IGS-S1-01,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S1-08,strategy:IGS-S7-03,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S1-09,strategy:IGS-S2-07,continues_to,可继续推进到下一阶段 S2
strategy:IGS-S1-09,strategy:IGS-S1-05,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S1-09,strategy:IGS-S3-07,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S2-01,strategy:IGS-S1-01,depends_on,承接上一阶段 S1 的定位、信任或互动基础
strategy:IGS-S2-01,strategy:IGS-S3-09,continues_to,可继续推进到下一阶段 S3
strategy:IGS-S2-01,strategy:IGS-S2-05,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S2-02,strategy:IGS-S1-03,depends_on,承接上一阶段 S1 的定位、信任或互动基础
strategy:IGS-S2-02,strategy:IGS-S3-09,continues_to,可继续推进到下一阶段 S3
strategy:IGS-S2-02,strategy:IGS-S2-05,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S2-02,strategy:IGS-S8-02,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S2-03,strategy:IGS-S1-07,depends_on,承接上一阶段 S1 的定位、信任或互动基础
strategy:IGS-S2-03,strategy:IGS-S3-09,continues_to,可继续推进到下一阶段 S3
strategy:IGS-S2-03,strategy:IGS-S2-06,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S2-03,strategy:IGS-S8-05,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S2-04,strategy:IGS-S1-06,depends_on,承接上一阶段 S1 的定位、信任或互动基础
strategy:IGS-S2-04,strategy:IGS-S3-05,continues_to,可继续推进到下一阶段 S3
strategy:IGS-S2-04,strategy:IGS-S2-09,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S2-04,strategy:IGS-S6-09,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S2-05,strategy:IGS-S1-07,depends_on,承接上一阶段 S1 的定位、信任或互动基础
strategy:IGS-S2-05,strategy:IGS-S3-09,continues_to,可继续推进到下一阶段 S3
strategy:IGS-S2-05,strategy:IGS-S2-06,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S2-05,strategy:IGS-S9-08,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S2-06,strategy:IGS-S1-08,depends_on,承接上一阶段 S1 的定位、信任或互动基础
strategy:IGS-S2-06,strategy:IGS-S3-05,continues_to,可继续推进到下一阶段 S3
strategy:IGS-S2-06,strategy:IGS-S2-03,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S2-06,strategy:IGS-S8-05,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S2-07,strategy:IGS-S1-06,depends_on,承接上一阶段 S1 的定位、信任或互动基础
strategy:IGS-S2-07,strategy:IGS-S3-07,continues_to,可继续推进到下一阶段 S3
strategy:IGS-S2-07,strategy:IGS-S2-09,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S2-07,strategy:IGS-S6-03,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S2-08,strategy:IGS-S1-08,depends_on,承接上一阶段 S1 的定位、信任或互动基础
strategy:IGS-S2-08,strategy:IGS-S3-05,continues_to,可继续推进到下一阶段 S3
strategy:IGS-S2-08,strategy:IGS-S2-04,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S2-08,strategy:IGS-S7-03,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S2-09,strategy:IGS-S1-05,depends_on,承接上一阶段 S1 的定位、信任或互动基础
strategy:IGS-S2-09,strategy:IGS-S3-05,continues_to,可继续推进到下一阶段 S3
strategy:IGS-S2-09,strategy:IGS-S2-06,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S2-09,strategy:IGS-S5-05,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S3-01,strategy:IGS-S2-02,depends_on,承接上一阶段 S2 的定位、信任或互动基础
strategy:IGS-S3-01,strategy:IGS-S4-05,continues_to,可继续推进到下一阶段 S4
strategy:IGS-S3-01,strategy:IGS-S3-09,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S3-01,strategy:IGS-S8-02,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S3-02,strategy:IGS-S2-03,depends_on,承接上一阶段 S2 的定位、信任或互动基础
strategy:IGS-S3-02,strategy:IGS-S4-04,continues_to,可继续推进到下一阶段 S4
strategy:IGS-S3-02,strategy:IGS-S3-06,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S3-03,strategy:IGS-S2-05,depends_on,承接上一阶段 S2 的定位、信任或互动基础
strategy:IGS-S3-03,strategy:IGS-S4-05,continues_to,可继续推进到下一阶段 S4
strategy:IGS-S3-03,strategy:IGS-S3-G14,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S3-03,strategy:IGS-S8-03,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S3-04,strategy:IGS-S2-08,depends_on,承接上一阶段 S2 的定位、信任或互动基础
strategy:IGS-S3-04,strategy:IGS-S4-06,continues_to,可继续推进到下一阶段 S4
strategy:IGS-S3-04,strategy:IGS-S3-05,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S3-04,strategy:IGS-S7-06,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S3-05,strategy:IGS-S2-08,depends_on,承接上一阶段 S2 的定位、信任或互动基础
strategy:IGS-S3-05,strategy:IGS-S4-04,continues_to,可继续推进到下一阶段 S4
strategy:IGS-S3-05,strategy:IGS-S3-04,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S3-05,strategy:IGS-S6-09,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S3-06,strategy:IGS-S2-08,depends_on,承接上一阶段 S2 的定位、信任或互动基础
strategy:IGS-S3-06,strategy:IGS-S4-09,continues_to,可继续推进到下一阶段 S4
strategy:IGS-S3-06,strategy:IGS-S3-09,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S3-06,strategy:IGS-S9-02,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S3-07,strategy:IGS-S2-08,depends_on,承接上一阶段 S2 的定位、信任或互动基础
strategy:IGS-S3-07,strategy:IGS-S4-06,continues_to,可继续推进到下一阶段 S4
strategy:IGS-S3-07,strategy:IGS-S3-G27,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S3-07,strategy:IGS-S8-04,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S3-08,strategy:IGS-S2-04,depends_on,承接上一阶段 S2 的定位、信任或互动基础
strategy:IGS-S3-08,strategy:IGS-S4-04,continues_to,可继续推进到下一阶段 S4
strategy:IGS-S3-08,strategy:IGS-S3-02,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S3-09,strategy:IGS-S2-05,depends_on,承接上一阶段 S2 的定位、信任或互动基础
strategy:IGS-S3-09,strategy:IGS-S4-05,continues_to,可继续推进到下一阶段 S4
strategy:IGS-S3-09,strategy:IGS-S3-01,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S3-09,strategy:IGS-S9-04,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S4-01,strategy:IGS-S3-07,depends_on,承接上一阶段 S3 的定位、信任或互动基础
strategy:IGS-S4-01,strategy:IGS-S5-08,continues_to,可继续推进到下一阶段 S5
strategy:IGS-S4-01,strategy:IGS-S4-05,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S4-01,strategy:IGS-S1-04,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S4-02,strategy:IGS-S3-07,depends_on,承接上一阶段 S3 的定位、信任或互动基础
strategy:IGS-S4-02,strategy:IGS-S5-08,continues_to,可继续推进到下一阶段 S5
strategy:IGS-S4-02,strategy:IGS-S4-05,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S4-03,strategy:IGS-S3-05,depends_on,承接上一阶段 S3 的定位、信任或互动基础
strategy:IGS-S4-03,strategy:IGS-S5-06,continues_to,可继续推进到下一阶段 S5
strategy:IGS-S4-03,strategy:IGS-S4-08,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S4-03,strategy:IGS-S1-09,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S4-04,strategy:IGS-S3-02,depends_on,承接上一阶段 S3 的定位、信任或互动基础
strategy:IGS-S4-04,strategy:IGS-S5-09,continues_to,可继续推进到下一阶段 S5
strategy:IGS-S4-04,strategy:IGS-S4-G24,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S4-04,strategy:IGS-S9-08,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S4-05,strategy:IGS-S3-06,depends_on,承接上一阶段 S3 的定位、信任或互动基础
strategy:IGS-S4-05,strategy:IGS-S5-08,continues_to,可继续推进到下一阶段 S5
strategy:IGS-S4-05,strategy:IGS-S4-01,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S4-05,strategy:IGS-S8-08,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S4-06,strategy:IGS-S3-07,depends_on,承接上一阶段 S3 的定位、信任或互动基础
strategy:IGS-S4-06,strategy:IGS-S5-06,continues_to,可继续推进到下一阶段 S5
strategy:IGS-S4-06,strategy:IGS-S4-G23,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S4-07,strategy:IGS-S3-08,depends_on,承接上一阶段 S3 的定位、信任或互动基础
strategy:IGS-S4-07,strategy:IGS-S5-08,continues_to,可继续推进到下一阶段 S5
strategy:IGS-S4-07,strategy:IGS-S4-05,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S4-07,strategy:IGS-S6-06,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S4-08,strategy:IGS-S3-07,depends_on,承接上一阶段 S3 的定位、信任或互动基础
strategy:IGS-S4-08,strategy:IGS-S5-04,continues_to,可继续推进到下一阶段 S5
strategy:IGS-S4-08,strategy:IGS-S4-01,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S4-08,strategy:IGS-S6-03,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S4-09,strategy:IGS-S3-06,depends_on,承接上一阶段 S3 的定位、信任或互动基础
strategy:IGS-S4-09,strategy:IGS-S5-08,continues_to,可继续推进到下一阶段 S5
strategy:IGS-S4-09,strategy:IGS-S4-01,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S4-09,strategy:IGS-S9-09,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S5-01,strategy:IGS-S4-06,depends_on,承接上一阶段 S4 的定位、信任或互动基础
strategy:IGS-S5-01,strategy:IGS-S6-08,continues_to,可继续推进到下一阶段 S6
strategy:IGS-S5-01,strategy:IGS-S5-05,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S5-01,strategy:IGS-S9-06,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S5-02,strategy:IGS-S4-06,depends_on,承接上一阶段 S4 的定位、信任或互动基础
strategy:IGS-S5-02,strategy:IGS-S6-08,continues_to,可继续推进到下一阶段 S6
strategy:IGS-S5-02,strategy:IGS-S5-05,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S5-02,strategy:IGS-S9-06,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S5-03,strategy:IGS-S4-07,depends_on,承接上一阶段 S4 的定位、信任或互动基础
strategy:IGS-S5-03,strategy:IGS-S6-08,continues_to,可继续推进到下一阶段 S6
strategy:IGS-S5-03,strategy:IGS-S5-08,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S5-03,strategy:IGS-S8-06,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S5-04,strategy:IGS-S4-08,depends_on,承接上一阶段 S4 的定位、信任或互动基础
strategy:IGS-S5-04,strategy:IGS-S6-01,continues_to,可继续推进到下一阶段 S6
strategy:IGS-S5-04,strategy:IGS-S5-07,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S5-05,strategy:IGS-S4-06,depends_on,承接上一阶段 S4 的定位、信任或互动基础
strategy:IGS-S5-05,strategy:IGS-S6-08,continues_to,可继续推进到下一阶段 S6
strategy:IGS-S5-05,strategy:IGS-S5-01,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S5-06,strategy:IGS-S4-06,depends_on,承接上一阶段 S4 的定位、信任或互动基础
strategy:IGS-S5-06,strategy:IGS-S6-08,continues_to,可继续推进到下一阶段 S6
strategy:IGS-S5-06,strategy:IGS-S5-01,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S5-07,strategy:IGS-S4-06,depends_on,承接上一阶段 S4 的定位、信任或互动基础
strategy:IGS-S5-07,strategy:IGS-S6-08,continues_to,可继续推进到下一阶段 S6
strategy:IGS-S5-07,strategy:IGS-S5-09,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S5-07,strategy:IGS-S9-05,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S5-08,strategy:IGS-S4-09,depends_on,承接上一阶段 S4 的定位、信任或互动基础
strategy:IGS-S5-08,strategy:IGS-S6-08,continues_to,可继续推进到下一阶段 S6
strategy:IGS-S5-08,strategy:IGS-S5-03,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S5-08,strategy:IGS-S7-09,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S5-09,strategy:IGS-S4-06,depends_on,承接上一阶段 S4 的定位、信任或互动基础
strategy:IGS-S5-09,strategy:IGS-S6-08,continues_to,可继续推进到下一阶段 S6
strategy:IGS-S5-09,strategy:IGS-S5-07,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S5-09,strategy:IGS-S7-08,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S6-01,strategy:IGS-S5-04,depends_on,承接上一阶段 S5 的定位、信任或互动基础
strategy:IGS-S6-01,strategy:IGS-S7-07,continues_to,可继续推进到下一阶段 S7
strategy:IGS-S6-01,strategy:IGS-S6-G16,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S6-02,strategy:IGS-S5-03,depends_on,承接上一阶段 S5 的定位、信任或互动基础
strategy:IGS-S6-02,strategy:IGS-S7-05,continues_to,可继续推进到下一阶段 S7
strategy:IGS-S6-02,strategy:IGS-S6-04,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S6-03,strategy:IGS-S5-04,depends_on,承接上一阶段 S5 的定位、信任或互动基础
strategy:IGS-S6-03,strategy:IGS-S7-07,continues_to,可继续推进到下一阶段 S7
strategy:IGS-S6-03,strategy:IGS-S6-05,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S6-03,strategy:IGS-S4-08,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S6-04,strategy:IGS-S5-04,depends_on,承接上一阶段 S5 的定位、信任或互动基础
strategy:IGS-S6-04,strategy:IGS-S7-07,continues_to,可继续推进到下一阶段 S7
strategy:IGS-S6-04,strategy:IGS-S6-02,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S6-05,strategy:IGS-S5-G30,depends_on,承接上一阶段 S5 的定位、信任或互动基础
strategy:IGS-S6-05,strategy:IGS-S7-07,continues_to,可继续推进到下一阶段 S7
strategy:IGS-S6-05,strategy:IGS-S6-03,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S6-05,strategy:IGS-S8-04,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S6-06,strategy:IGS-S5-04,depends_on,承接上一阶段 S5 的定位、信任或互动基础
strategy:IGS-S6-06,strategy:IGS-S7-07,continues_to,可继续推进到下一阶段 S7
strategy:IGS-S6-06,strategy:IGS-S6-01,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S6-06,strategy:IGS-S8-G14,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S6-07,strategy:IGS-S5-04,depends_on,承接上一阶段 S5 的定位、信任或互动基础
strategy:IGS-S6-07,strategy:IGS-S7-07,continues_to,可继续推进到下一阶段 S7
strategy:IGS-S6-07,strategy:IGS-S6-09,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S6-07,strategy:IGS-S2-04,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S6-08,strategy:IGS-S5-02,depends_on,承接上一阶段 S5 的定位、信任或互动基础
strategy:IGS-S6-08,strategy:IGS-S7-07,continues_to,可继续推进到下一阶段 S7
strategy:IGS-S6-08,strategy:IGS-S6-G06,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S6-08,strategy:IGS-S9-06,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S6-09,strategy:IGS-S5-04,depends_on,承接上一阶段 S5 的定位、信任或互动基础
strategy:IGS-S6-09,strategy:IGS-S7-08,continues_to,可继续推进到下一阶段 S7
strategy:IGS-S6-09,strategy:IGS-S6-07,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S6-09,strategy:IGS-S2-04,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S7-01,strategy:IGS-S6-02,depends_on,承接上一阶段 S6 的定位、信任或互动基础
strategy:IGS-S7-01,strategy:IGS-S8-09,continues_to,可继续推进到下一阶段 S8
strategy:IGS-S7-01,strategy:IGS-S7-05,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S7-01,strategy:IGS-S1-03,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S7-02,strategy:IGS-S6-G15,depends_on,承接上一阶段 S6 的定位、信任或互动基础
strategy:IGS-S7-02,strategy:IGS-S8-04,continues_to,可继续推进到下一阶段 S8
strategy:IGS-S7-02,strategy:IGS-S7-G10,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S7-03,strategy:IGS-S6-08,depends_on,承接上一阶段 S6 的定位、信任或互动基础
strategy:IGS-S7-03,strategy:IGS-S8-07,continues_to,可继续推进到下一阶段 S8
strategy:IGS-S7-03,strategy:IGS-S7-09,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S7-03,strategy:IGS-S1-08,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S7-04,strategy:IGS-S6-G15,depends_on,承接上一阶段 S6 的定位、信任或互动基础
strategy:IGS-S7-04,strategy:IGS-S8-09,continues_to,可继续推进到下一阶段 S8
strategy:IGS-S7-04,strategy:IGS-S7-02,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S7-04,strategy:IGS-S3-05,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S7-05,strategy:IGS-S6-02,depends_on,承接上一阶段 S6 的定位、信任或互动基础
strategy:IGS-S7-05,strategy:IGS-S8-09,continues_to,可继续推进到下一阶段 S8
strategy:IGS-S7-05,strategy:IGS-S7-01,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S7-05,strategy:IGS-S3-06,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S7-06,strategy:IGS-S6-G15,depends_on,承接上一阶段 S6 的定位、信任或互动基础
strategy:IGS-S7-06,strategy:IGS-S8-04,continues_to,可继续推进到下一阶段 S8
strategy:IGS-S7-06,strategy:IGS-S7-03,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S7-06,strategy:IGS-S3-04,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S7-07,strategy:IGS-S6-01,depends_on,承接上一阶段 S6 的定位、信任或互动基础
strategy:IGS-S7-07,strategy:IGS-S8-07,continues_to,可继续推进到下一阶段 S8
strategy:IGS-S7-07,strategy:IGS-S7-09,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S7-08,strategy:IGS-S6-09,depends_on,承接上一阶段 S6 的定位、信任或互动基础
strategy:IGS-S7-08,strategy:IGS-S8-05,continues_to,可继续推进到下一阶段 S8
strategy:IGS-S7-08,strategy:IGS-S7-09,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S7-08,strategy:IGS-S5-09,same_source_family,来自相近资料来源，可作为同一方法论的延伸
strategy:IGS-S7-09,strategy:IGS-S6-08,depends_on,承接上一阶段 S6 的定位、信任或互动基础
strategy:IGS-S7-09,strategy:IGS-S8-09,continues_to,可继续推进到下一阶段 S8
strategy:IGS-S7-09,strategy:IGS-S7-07,reinforces,同阶段内目标、内容形式或用户心理相互增强
strategy:IGS-S7-09,strategy:IGS-S5-08,same_source_family,来自相近资料来源，可作为同一方法论的延伸
